instance,parent-instance
Travel Writer,writer
Video Game Writer,writer
Writer,writer
Cafeteria Worker,worker
Community Food Project Worker,worker
Emergency Relief Worker,worker
Farm Worker,worker
Fast Food Worker,worker
Food Kitchen Worker,worker
Help Desk Worker,worker
Homeless Shelter Worker,worker
Landscaping Worker,worker
Retail Worker,worker
Social Worker,worker
Warehouse Worker,worker
Women’s Shelter Jobs,Women’s Shelter Jobs
Welding,Welding
Waiter,waiter
Waitress,waiter
Animal Shelter Volunteer,volunteer
Church Volunteer,volunteer
Community Volunteer Jobs,volunteer
Conservation Volunteer,Volunteer
Hospital Volunteer,Volunteer
Office Volunteer,volunteer
Red Cross Volunteer,volunteer
School Volunteer,volunteer
Sports Volunteer,volunteer
Suicide Hotline Volunteer,volunteer
Youth Volunteer,volunteer
Video Editor,Video Editor
Vice President,Vice President
Vice President of Marketing,Vice President
Vice President of Operations,Vice President
VP of Miscellaneous Stuff,Vice President
Valet,Valet
Translator,Translator
Personal Trainer,trainer
Service Dog Trainer,trainer
Therapist,Therapist
Test Scorer,Test Scorer
Telework Nurse,Telework Nurse
Telemarketer,Telemarketer
Engineering Technician,technician
HVAC Technician,technician
Medical Laboratory Tech,technician
Medical Laboratory Technician,technician
Nail Technician,technician
Technical Writer,Technical Writer
Preschool Teacher,teacher
Substitute Teacher,teacher
Teacher,teacher
Speechwriter,Speechwriter
Speech Pathologist,Speech Pathologist
Administrative Specialist,specialist
B2B Sales Specialist,specialist
eCommerce Marketing Specialist,specialist
Entertainment Specialist,specialist
Marketing Specialist,specialist
Phone Sales Specialist,specialist
Public Relations Specialist,specialist
Skin Care Specialist,specialist
Social Media Specialist,specialist
Technical Specialist,specialist
Sociologist,Sociologist
Shelf Stocker,Shelf Stocker
Security Guard,Security Guard
Secretary,Secretary
Screenwriter,Screenwriter
Atmospheric Scientist,scientist
Chemist,scientist
Conservation Scientist,scientist
Cosmetologist,scientist
Dental Hygienist,scientist
Economist,scientist
Geologist,scientist
Mathematician,scientist
Molecular Scientist,scientist
Physicist,scientist
Political Scientist,scientist
Zoologist,scientist
Sales Associate,Sales Associate
Restaurant Chain Executive,Restaurant Chain Executive
Reservationist,Reservationist
Market Researcher,Researcher
Medical Researcher,Researcher
Researcher,Researcher
Title Researcher,Researcher
Call Center Representative,representative
Customer Support Representative,representative
Financial Services Representative,representative
Sales Representative,representative
Reiki Practitioner,Reiki Practitioner
Recyclables Collector,Recyclables Collector
Recruiter,Recruiter
Hotel Receptionist,Receptionist
Receptionist,Receptionist
Real Estate Broker,Real Estate Broker
Public Relations,Public Relations
Proposal Writer,Proposal Writer
Proofreader,Proofreader
Program Administrator,Program Administrator
Professor,Professor
Video Producer,Producer
Film Producer,Producer
Playwright,Playwright
Physical Therapist,Physical Therapist
Phone Survey Conductor,Phone Survey Conductor
Pharmacist,Pharmacist
Pet Sitter,Pet Sitter
Paralegal,Paralegal
Over the Phone Interpreter,Over the Phone Interpreter
Orderly,Orderly
Camera Operator,operator
Heavy Equipment Operator,operator
Machinery Operator,operator
Telephone Operator,operator
Tow Truck Operator,operator
Operations Professional,Operations Professional
Nurse Practitioner,Nurse Practitioner
Nurse,Nurse
Travel Nurse,nurse
